Region,Department,Employment_type,Age,UserLanguage,is_synthetic,RespondentID
Zeeland,Quality & Safety,>20 year,55+,NL,1,c03dba70
Zuid-Holland,Strategy & Innovation,>20 year,35-45,NL,1,6f2aa35c
Limburg,Maintenance & Management,3-10 year,<25,NL,1,b4ec8671
Zuid-Holland,Finance,3-10 year,<25,NL,1,031e9622
Flevoland,Quality & Safety,>20 year,55+,NL,1,741ea87c
Overijssel,HR,<3 year,55+,NL,1,d9c906d4
Drenthe,Research & Development,>20 year,55+,NL,1,3cc638de
Utrecht,Supply Chain,>20 year,45-55,NL,1,eafff2ee
Noord-Holland,Research & Development,>20 year,<25,NL,1,2c7b2c7b
Gelderland,Marketing,>20 year,45-55,NL,1,dad4b477
Zuid-Holland,Marketing,<3 year,45-55,NL,1,f788a66f
Zuid-Holland,Communication,10-20 year,55+,NL,1,face2189
Noord-Holland,Operations,3-10 year,<25,NL,1,d531ed29
Zuid-Holland,Data & Analytics,<3 year,45-55,NL,1,55b856c4
Zeeland,Operations,<3 year,35-45,NL,1,c4825ee8
Zuid-Holland,Klantenservice,>20 year,35-45,NL,1,72d6480d
Drenthe,Strategy & Innovation,3-10 year,55+,NL,1,68297c6f
Utrecht,Operations,<3 year,55+,NL,1,f719cf27
Noord-Holland,Sustainability,10-20 year,35-45,NL,1,d7863b4d
Zeeland,Projectmanagement,<3 year,35-45,NL,1,9675c15c
Flevoland,Data & Analytics,<3 year,55+,NL,1,e229d33c
Noord-Holland,Research & Development,<3 year,<25,NL,1,2a4d52f3
Limburg,Projectmanagement,<3 year,45-55,NL,1,95aaa757
Flevoland,Quality & Safety,10-20 year,<25,NL,1,7d1d42dc
Gelderland,Klantenservice,3-10 year,35-45,NL,1,e62ca695
Drenthe,Communication,<3 year,25-35,NL,1,bf22b945
Flevoland,Operations,10-20 year,55+,NL,1,9a55e747
Zeeland,Marketing,>20 year,<25,NL,1,67c440a7
Gelderland,Operations,10-20 year,35-45,NL,1,6977c143
Drenthe,Operations,3-10 year,25-35,NL,1,d82854b8
Overijssel,Strategy & Innovation,<3 year,45-55,NL,1,c2ce3629
Overijssel,Communication,10-20 year,25-35,NL,1,9f9b1446
Gelderland,Communication,<3 year,<25,NL,1,84598d32
Zeeland,Data & Analytics,<3 year,55+,NL,1,2a349efc
Limburg,Finance,10-20 year,45-55,NL,1,20a3090c
Overijssel,Communication,>20 year,35-45,NL,1,22ad509d
Zeeland,Projectmanagement,10-20 year,55+,NL,1,7ac6717c
Flevoland,Sustainability,10-20 year,<25,NL,1,6e6a2db2
Limburg,ICT,<3 year,25-35,NL,1,f5360eeb
Noord-Holland,Supply Chain,<3 year,55+,NL,1,c7aa9452
Zuid-Holland,Klantenservice,>20 year,<25,NL,1,f262a946
Gelderland,Projectmanagement,10-20 year,55+,NL,1,e96ec462
Limburg,HR,<3 year,<25,NL,1,2ae6cdbb
Zuid-Holland,Maintenance & Management,3-10 year,35-45,NL,1,8c09a74e
Noord-Holland,Operations,>20 year,<25,NL,1,f1773754
Limburg,Marketing,3-10 year,45-55,NL,1,ebba1b6d
Flevoland,Quality & Safety,3-10 year,55+,NL,1,ffb3b8f4
Utrecht,Maintenance & Management,3-10 year,<25,NL,1,af92a9de
Zuid-Holland,Klantenservice,3-10 year,45-55,NL,1,497287b6
Overijssel,Data & Analytics,10-20 year,25-35,NL,1,98da9987
Drenthe,HR,10-20 year,45-55,NL,1,bf29fe37
Utrecht,Finance,10-20 year,35-45,NL,1,5614e5a3
Zeeland,Supply Chain,10-20 year,45-55,NL,1,657d7c9f
Noord-Holland,Procurement,<3 year,45-55,NL,1,63a91df9
Drenthe,Maintenance & Management,<3 year,35-45,NL,1,3af33fde
Utrecht,HR,3-10 year,35-45,NL,1,660d068b
Overijssel,Klantenservice,10-20 year,<25,NL,1,fdac63b6
Utrecht,Strategy & Innovation,>20 year,25-35,NL,1,b8467ee8
Zeeland,Supply Chain,10-20 year,<25,NL,1,71ea28e4
Zeeland,Sales,10-20 year,35-45,NL,1,c95f9695
Zuid-Holland,Finance,<3 year,45-55,NL,1,f629a6d9
Overijssel,Marketing,>20 year,25-35,NL,1,abc2f46f
Gelderland,Data & Analytics,3-10 year,55+,NL,1,3057e7db
Friesland,Communication,10-20 year,45-55,NL,1,a9625e0e
Zuid-Holland,Finance,>20 year,<25,NL,1,4800a79d
Gelderland,Finance,10-20 year,25-35,NL,1,ce54b16f
Flevoland,Klantenservice,<3 year,25-35,NL,1,15ecc80d
Zuid-Holland,Supply Chain,3-10 year,35-45,NL,1,52b69818
Flevoland,Maintenance & Management,>20 year,<25,NL,1,925ee6a1
Overijssel,ICT,<3 year,<25,NL,1,822525f9
Zeeland,Sales,<3 year,55+,NL,1,ca02ec82
Zeeland,Projectmanagement,>20 year,55+,NL,1,d785d0d7
Overijssel,Strategy & Innovation,3-10 year,45-55,NL,1,98543f92
Noord-Holland,Communication,<3 year,25-35,NL,1,7254ba8f
Utrecht,Klantenservice,3-10 year,<25,NL,1,cd31d970
Gelderland,Projectmanagement,10-20 year,<25,NL,1,f892ee8b
Overijssel,Quality & Safety,>20 year,45-55,NL,1,f19d30c9
Friesland,ICT,3-10 year,55+,NL,1,4f83d800
Overijssel,Sustainability,10-20 year,45-55,NL,1,c622bf9b
Noord-Holland,Marketing,10-20 year,35-45,NL,1,ec7a0dcf
Flevoland,Operations,>20 year,55+,NL,1,e57941bb
Flevoland,Research & Development,10-20 year,35-45,NL,1,3bd81d17
Limburg,Strategy & Innovation,>20 year,55+,NL,1,176f9585
Gelderland,ICT,10-20 year,25-35,NL,1,b6f32d45
Zeeland,Sales,>20 year,35-45,NL,1,7ebb2806
Zeeland,Marketing,<3 year,25-35,NL,1,299b6356
Zuid-Holland,Sustainability,10-20 year,55+,NL,1,363bfcb8
Drenthe,Data & Analytics,>20 year,25-35,NL,1,226d59f1
Limburg,Communication,3-10 year,25-35,NL,1,c738f9de
Noord-Holland,Communication,10-20 year,<25,NL,1,0cfd670c
Gelderland,Marketing,>20 year,35-45,NL,1,51c25740
Flevoland,HR,10-20 year,45-55,NL,1,86b14cf4
Gelderland,Marketing,3-10 year,25-35,NL,1,79ff50d4
Gelderland,Quality & Safety,3-10 year,45-55,NL,1,e4541214
Noord-Holland,Communication,<3 year,35-45,NL,1,461c9378
Gelderland,Communication,<3 year,45-55,NL,1,a0004d7c
Noord-Holland,HR,<3 year,<25,NL,1,9ab104ae
Friesland,HR,10-20 year,45-55,NL,1,a0ba9094
Overijssel,Procurement,<3 year,55+,NL,1,f23cb50d
Friesland,ICT,<3 year,25-35,NL,1,e67b5264
Zuid-Holland,Quality & Safety,10-20 year,<25,NL,1,470be4d6
Friesland,Sustainability,>20 year,55+,NL,1,a236b449
Overijssel,Quality & Safety,3-10 year,<25,NL,1,bbcfdd8e
Zuid-Holland,HR,3-10 year,45-55,NL,1,a181da0d
Zuid-Holland,Communication,<3 year,25-35,NL,1,efcbd1a2
Noord-Holland,Data & Analytics,3-10 year,45-55,NL,1,9b5a90f6
Drenthe,Klantenservice,>20 year,25-35,NL,1,07067c6f
Friesland,Klantenservice,3-10 year,25-35,NL,1,e284e645
Zeeland,Marketing,<3 year,35-45,NL,1,e2535043
Limburg,Sustainability,<3 year,45-55,NL,1,b9ada1bb
Drenthe,ICT,10-20 year,45-55,NL,1,564c5443
Utrecht,Maintenance & Management,>20 year,45-55,NL,1,49b7f225
Gelderland,Supply Chain,<3 year,35-45,NL,1,bf57dbda
Flevoland,Finance,<3 year,25-35,NL,1,4dc065b6
Gelderland,Research & Development,10-20 year,55+,NL,1,1a8a526c
Flevoland,Finance,3-10 year,45-55,NL,1,e3dd94d5
Limburg,Klantenservice,3-10 year,45-55,NL,1,d4222d7e
Noord-Holland,Quality & Safety,10-20 year,45-55,NL,1,6f1aa892
Zeeland,Marketing,3-10 year,55+,NL,1,e22d93e4
Utrecht,Data & Analytics,>20 year,45-55,NL,1,ee036d16
Drenthe,Supply Chain,>20 year,55+,NL,1,b727fce4
Utrecht,Procurement,10-20 year,45-55,NL,1,d95d2e62
Overijssel,Data & Analytics,10-20 year,45-55,NL,1,b4b53ee0
Flevoland,Procurement,10-20 year,35-45,NL,1,22e87771
Utrecht,HR,<3 year,25-35,NL,1,b2341306
Noord-Holland,Finance,>20 year,35-45,NL,1,8d3f029c
Flevoland,Maintenance & Management,>20 year,35-45,NL,1,133c6ea1
Utrecht,Research & Development,<3 year,45-55,NL,1,d1a189b0
Utrecht,ICT,>20 year,25-35,NL,1,cd1ee8ea
Friesland,Quality & Safety,<3 year,45-55,NL,1,e0af42f1
Zeeland,Strategy & Innovation,<3 year,55+,NL,1,f9d9fbe5
Friesland,Data & Analytics,>20 year,55+,NL,1,2bb258f2
Friesland,Sustainability,>20 year,35-45,NL,1,83b17a18
Drenthe,Supply Chain,10-20 year,<25,NL,1,950fe1da
Zeeland,Procurement,3-10 year,35-45,NL,1,51299c41
Overijssel,Maintenance & Management,10-20 year,<25,NL,1,81577920
Overijssel,Operations,3-10 year,25-35,NL,1,d0c1deda
Noord-Holland,Strategy & Innovation,3-10 year,45-55,NL,1,ad9b401a
Drenthe,Sustainability,10-20 year,25-35,NL,1,277a88dd
Limburg,HR,10-20 year,55+,NL,1,2cebd5eb
Drenthe,Klantenservice,>20 year,<25,NL,1,ddb2fc7a
Zuid-Holland,Procurement,3-10 year,25-35,NL,1,00f1b731
Limburg,Strategy & Innovation,<3 year,25-35,NL,1,27baecd2
Utrecht,Communication,>20 year,35-45,NL,1,4e1d9e10
Zuid-Holland,Communication,<3 year,<25,NL,1,477f7d5e
Zuid-Holland,Quality & Safety,<3 year,55+,NL,1,0c6c270b
Zeeland,ICT,3-10 year,55+,NL,1,9a04bf5c
Drenthe,Klantenservice,10-20 year,45-55,NL,1,c7a3417a
Flevoland,Quality & Safety,3-10 year,45-55,NL,1,cdbb3859
Limburg,HR,10-20 year,45-55,NL,1,2dbb7b92
Utrecht,Research & Development,>20 year,25-35,NL,1,8561595c
Utrecht,Maintenance & Management,10-20 year,35-45,NL,1,27589be6
Noord-Holland,Klantenservice,<3 year,35-45,NL,1,400fe984
Noord-Holland,Projectmanagement,>20 year,<25,NL,1,4ec3f173
Zuid-Holland,Supply Chain,10-20 year,<25,NL,1,28bc5851
Gelderland,Sustainability,3-10 year,25-35,NL,1,d57d17cd
Noord-Holland,ICT,3-10 year,<25,NL,1,e458cadf
Gelderland,Procurement,<3 year,55+,NL,1,4511da61
Zuid-Holland,Sustainability,10-20 year,<25,NL,1,60207d54
Limburg,Marketing,10-20 year,<25,NL,1,ceebd1a6
Noord-Holland,Supply Chain,>20 year,<25,NL,1,158fd340
Drenthe,Research & Development,3-10 year,25-35,NL,1,c87b2ae0
Friesland,Marketing,<3 year,25-35,NL,1,9e875816
Zuid-Holland,Procurement,3-10 year,<25,NL,1,6db60f72
Drenthe,Sales,3-10 year,25-35,NL,1,0fc9b91d
Utrecht,Klantenservice,3-10 year,25-35,NL,1,863db1b0
Drenthe,Finance,3-10 year,<25,NL,1,c430fc4e
Limburg,Projectmanagement,>20 year,55+,NL,1,bd431442
Limburg,Quality & Safety,<3 year,<25,NL,1,d5c174be
Overijssel,Research & Development,10-20 year,45-55,NL,1,5ad54868
Drenthe,Marketing,10-20 year,35-45,NL,1,65b82f54
Friesland,Maintenance & Management,10-20 year,35-45,NL,1,6c1a60ce
Limburg,Research & Development,>20 year,<25,NL,1,c0d8fce5
Flevoland,Maintenance & Management,<3 year,<25,NL,1,c1c070cc
Zeeland,Strategy & Innovation,>20 year,25-35,NL,1,435f2d5c
Utrecht,Sales,>20 year,<25,NL,1,72047816
Utrecht,Communication,>20 year,55+,NL,1,5f9f5e48
Friesland,Marketing,<3 year,35-45,NL,1,10c38e59
Zuid-Holland,Strategy & Innovation,3-10 year,25-35,NL,1,8a671034
Zeeland,Projectmanagement,<3 year,25-35,NL,1,e221c2ec
Drenthe,HR,<3 year,35-45,NL,1,fc87b866
Zuid-Holland,Data & Analytics,10-20 year,<25,NL,1,60b61d95
Utrecht,HR,3-10 year,<25,NL,1,1fda711f
Utrecht,Projectmanagement,10-20 year,35-45,NL,1,e9467b19
Gelderland,Data & Analytics,<3 year,45-55,NL,1,12d04f0d
Limburg,Finance,<3 year,45-55,NL,1,4dcd766b
Drenthe,Sustainability,>20 year,35-45,NL,1,84d2fe8b
Friesland,HR,>20 year,35-45,NL,1,6699e755
Flevoland,Sustainability,3-10 year,<25,NL,1,e737d618
Utrecht,Finance,<3 year,<25,NL,1,58dd4065
Utrecht,Supply Chain,3-10 year,<25,NL,1,89e7ae8b
Noord-Holland,Projectmanagement,<3 year,35-45,NL,1,bfac5afd
Noord-Holland,Maintenance & Management,>20 year,35-45,NL,1,5376382b
Friesland,Maintenance & Management,3-10 year,25-35,NL,1,480d4d66
Flevoland,Data & Analytics,3-10 year,45-55,NL,1,16d99d5c
Noord-Holland,Projectmanagement,10-20 year,<25,NL,1,5f6d5fed
Overijssel,Klantenservice,>20 year,25-35,NL,1,0dfd8f1b
Overijssel,Sales,<3 year,25-35,NL,1,0a84282b
Noord-Holland,Procurement,<3 year,25-35,NL,1,1.37E+13
Utrecht,Research & Development,<3 year,55+,NL,1,a1c2505c
Utrecht,Procurement,>20 year,55+,NL,1,bfbfe87d
Flevoland,Procurement,3-10 year,45-55,NL,1,d066211d
Overijssel,Projectmanagement,>20 year,<25,NL,1,b850d37f
Gelderland,Projectmanagement,>20 year,35-45,NL,1,dda6c40e
Zeeland,Projectmanagement,<3 year,<25,NL,1,8478c681
Gelderland,Supply Chain,10-20 year,55+,NL,1,0e296aea
Gelderland,Procurement,10-20 year,45-55,NL,1,3fcf0bde
Zeeland,Sustainability,>20 year,<25,NL,1,77f2ca47
Drenthe,Finance,>20 year,25-35,NL,1,87a01676
Zuid-Holland,Projectmanagement,3-10 year,45-55,NL,1,421ec3ce
Gelderland,Procurement,3-10 year,<25,NL,1,49110b7e
Zeeland,Klantenservice,10-20 year,55+,NL,1,64dac76f
Zeeland,Klantenservice,3-10 year,35-45,NL,1,a46fbc02
Limburg,Procurement,10-20 year,25-35,NL,1,ebb9c6ff
Flevoland,Klantenservice,<3 year,<25,NL,1,bd5b91f6
Friesland,Strategy & Innovation,<3 year,<25,NL,1,250d21b9
Zuid-Holland,Sales,>20 year,55+,NL,1,bcdc6217
Zuid-Holland,Klantenservice,3-10 year,<25,NL,1,9f082498
Utrecht,HR,3-10 year,25-35,NL,1,6f2bf266
Flevoland,Maintenance & Management,3-10 year,35-45,NL,1,84e4bc7d
Friesland,Communication,>20 year,55+,NL,1,38bc3a65
Zuid-Holland,Procurement,>20 year,45-55,NL,1,344133a8
Overijssel,Operations,10-20 year,55+,NL,1,c04a4e36
Limburg,Strategy & Innovation,10-20 year,25-35,NL,1,e968a2bb
Limburg,Projectmanagement,10-20 year,25-35,NL,1,e755c09e
Zeeland,Maintenance & Management,<3 year,45-55,NL,1,ba28dcf0
Overijssel,Quality & Safety,>20 year,55+,NL,1,6f9efb07
Zuid-Holland,HR,<3 year,45-55,NL,1,abddf1ba
Flevoland,Sustainability,10-20 year,45-55,NL,1,d8b7bdfc
Limburg,Klantenservice,10-20 year,45-55,NL,1,4ce6b5bc
Limburg,Communication,3-10 year,35-45,NL,1,ec0cf348
Friesland,Procurement,10-20 year,35-45,NL,1,942c6f24
Friesland,Sales,3-10 year,55+,NL,1,c4486505
Limburg,Klantenservice,>20 year,35-45,NL,1,f9854407
Zeeland,Sustainability,10-20 year,25-35,NL,1,079e6ac8
Flevoland,Quality & Safety,>20 year,35-45,NL,1,c84c0f73
Utrecht,Supply Chain,10-20 year,55+,NL,1,7404a27f
Zeeland,ICT,10-20 year,45-55,NL,1,a795bcaf
Drenthe,Operations,3-10 year,<25,NL,1,62fd41c5
Friesland,Data & Analytics,>20 year,25-35,NL,1,e19f714b
Overijssel,Marketing,<3 year,<25,NL,1,a2ea7298
Overijssel,Maintenance & Management,>20 year,55+,NL,1,e9655b30
Noord-Holland,ICT,10-20 year,<25,NL,1,79c3339a
Friesland,Klantenservice,<3 year,35-45,NL,1,d50fd263
Overijssel,Sustainability,3-10 year,55+,NL,1,0c953f60
Noord-Holland,Procurement,3-10 year,<25,NL,1,9627b3c1
Zuid-Holland,Finance,10-20 year,<25,NL,1,204c085c
Gelderland,Operations,<3 year,45-55,NL,1,be549d01
Drenthe,Research & Development,>20 year,45-55,NL,1,4d212535
Utrecht,Quality & Safety,<3 year,25-35,NL,1,7cb41847
Utrecht,Supply Chain,>20 year,25-35,NL,1,7b5d6a69
Gelderland,Klantenservice,>20 year,45-55,NL,1,52da1856
Zuid-Holland,Procurement,>20 year,25-35,NL,1,048bb1d3
Flevoland,Sales,3-10 year,35-45,NL,1,17306bdf
Friesland,Communication,10-20 year,35-45,NL,1,d6b8fd65
Friesland,Research & Development,3-10 year,<25,NL,1,f250aa3b
Flevoland,Quality & Safety,>20 year,25-35,NL,1,027a2717
Flevoland,Sales,3-10 year,55+,NL,1,215dcaaf
Noord-Holland,Quality & Safety,3-10 year,25-35,NL,1,b54eb8b7
Noord-Holland,Sustainability,3-10 year,25-35,NL,1,8eed539a
Noord-Holland,Maintenance & Management,>20 year,<25,NL,1,1d8a1903
Limburg,Marketing,<3 year,55+,NL,1,190a5fd5
Limburg,Sales,10-20 year,35-45,NL,1,2e3f7520
Drenthe,Data & Analytics,<3 year,25-35,NL,1,e46b17b7
Limburg,Finance,10-20 year,55+,NL,1,42978221
Gelderland,Research & Development,<3 year,45-55,NL,1,a9a79958
Overijssel,ICT,10-20 year,35-45,NL,1,73d026e2
Noord-Holland,Strategy & Innovation,<3 year,45-55,NL,1,0d21545e
Gelderland,Quality & Safety,10-20 year,<25,NL,1,108beae6
Gelderland,Marketing,10-20 year,35-45,NL,1,a19c8c66
Limburg,Marketing,>20 year,45-55,NL,1,c7853fd4
Utrecht,Klantenservice,<3 year,45-55,NL,1,5eb8a3e0
Gelderland,Maintenance & Management,3-10 year,<25,NL,1,b89f49a3
Drenthe,Maintenance & Management,<3 year,<25,NL,1,8e6c34e0
Drenthe,Maintenance & Management,10-20 year,25-35,NL,1,8ea33c78
Overijssel,Maintenance & Management,10-20 year,25-35,NL,1,b586c538
Drenthe,Operations,<3 year,45-55,NL,1,70e72b9d
Gelderland,Data & Analytics,3-10 year,<25,NL,1,01d6161c
Zuid-Holland,Marketing,3-10 year,25-35,NL,1,4fb6485c
Drenthe,Finance,10-20 year,45-55,NL,1,c658d0c5
Drenthe,Operations,3-10 year,35-45,NL,1,a3797e36
Limburg,Klantenservice,<3 year,55+,NL,1,89073dea
Zeeland,Communication,10-20 year,25-35,NL,1,566bf0a7
Overijssel,Data & Analytics,<3 year,45-55,NL,1,b8fa60b1
Limburg,Operations,10-20 year,55+,NL,1,4db4380d
Utrecht,Data & Analytics,10-20 year,55+,NL,1,58105641
Utrecht,Procurement,>20 year,<25,NL,1,01253a26
Noord-Holland,Marketing,3-10 year,25-35,NL,1,9901726b
Gelderland,Operations,>20 year,35-45,NL,1,596fbeee
Gelderland,Supply Chain,>20 year,45-55,NL,1,d5ca9ecc
Limburg,Quality & Safety,>20 year,55+,NL,1,db7240ca
Zeeland,Research & Development,>20 year,35-45,NL,1,13b9f769
Friesland,ICT,<3 year,55+,NL,1,e73803b0
Overijssel,Supply Chain,3-10 year,35-45,NL,1,6331fbc4
Overijssel,Finance,10-20 year,35-45,NL,1,1271c731
Gelderland,ICT,3-10 year,45-55,NL,1,963cc640
Drenthe,HR,>20 year,25-35,NL,1,697ea35e
Utrecht,Quality & Safety,>20 year,25-35,NL,1,a9cba96b
Noord-Holland,HR,>20 year,35-45,NL,1,ba38230e
Utrecht,Marketing,3-10 year,<25,NL,1,e63bb8c2
Drenthe,HR,>20 year,<25,NL,1,6c77bfef
Utrecht,Klantenservice,3-10 year,35-45,NL,1,2028c4b3
Limburg,Research & Development,>20 year,35-45,NL,1,7df72f74
Flevoland,Operations,>20 year,25-35,NL,1,cdff043e
Limburg,HR,<3 year,35-45,NL,1,6cc26225
Limburg,Supply Chain,>20 year,45-55,NL,1,598ed2e4
Noord-Holland,Operations,<3 year,<25,NL,1,c41d20d4
Drenthe,Communication,10-20 year,<25,NL,1,be190ffb
Noord-Holland,Sustainability,<3 year,45-55,NL,1,8ce5b587
Drenthe,Operations,<3 year,35-45,NL,1,3dd071c9
Utrecht,Operations,3-10 year,35-45,NL,1,2ea93297
Overijssel,Operations,>20 year,45-55,NL,1,a44cd504
Gelderland,Strategy & Innovation,<3 year,<25,NL,1,f87a1504
Flevoland,Finance,>20 year,<25,NL,1,c569e59b
Limburg,Klantenservice,>20 year,<25,NL,1,18706048
Friesland,Supply Chain,>20 year,55+,NL,1,44f6ba0d
Noord-Holland,Marketing,3-10 year,55+,NL,1,cbe0cc04
Friesland,Quality & Safety,3-10 year,<25,NL,1,96899a2d
Noord-Holland,Communication,>20 year,35-45,NL,1,d10f92fe
Limburg,Data & Analytics,3-10 year,<25,NL,1,911820fd
Noord-Holland,Procurement,10-20 year,35-45,NL,1,446d6c14
Zeeland,Quality & Safety,<3 year,55+,NL,1,1a4ea177
Noord-Holland,Supply Chain,3-10 year,35-45,NL,1,45d5e927
Friesland,Quality & Safety,10-20 year,25-35,NL,1,b7512525
Utrecht,Data & Analytics,<3 year,35-45,NL,1,f1fd4f50
Friesland,Data & Analytics,10-20 year,45-55,NL,1,77bf01ff
Limburg,Quality & Safety,<3 year,25-35,NL,1,7021b054
Limburg,Finance,<3 year,55+,NL,1,c0fa2399
Flevoland,Projectmanagement,3-10 year,<25,NL,1,1fc44a1b
Noord-Holland,Sales,3-10 year,25-35,NL,1,219a353b
Friesland,Communication,>20 year,25-35,NL,1,a9546fd2
Utrecht,Communication,10-20 year,35-45,NL,1,5c55fd5c
Limburg,ICT,>20 year,35-45,NL,1,5228a29d
Gelderland,Data & Analytics,10-20 year,35-45,NL,1,b817ff3a
Gelderland,Projectmanagement,<3 year,45-55,NL,1,af341956
Overijssel,Operations,<3 year,25-35,NL,1,f702cb4d
Gelderland,Klantenservice,<3 year,35-45,NL,1,16599934
Utrecht,Sustainability,<3 year,55+,NL,1,d1b9dbaf
Utrecht,Supply Chain,<3 year,45-55,NL,1,4631dcb4
Friesland,Operations,>20 year,55+,NL,1,a10fbe92
Limburg,HR,3-10 year,55+,NL,1,5bc2149f
Overijssel,Marketing,>20 year,55+,NL,1,48c1de0b
Noord-Holland,Projectmanagement,>20 year,25-35,NL,1,710d51af
Utrecht,Klantenservice,>20 year,55+,NL,1,88b673a8
Zeeland,Data & Analytics,<3 year,45-55,NL,1,7.48E+30
Utrecht,Klantenservice,>20 year,45-55,NL,1,3acf365b
Zeeland,Procurement,10-20 year,55+,NL,1,f871feba
Zeeland,Data & Analytics,3-10 year,<25,NL,1,02f1dfeb
Friesland,HR,<3 year,35-45,NL,1,ab9eb61e
Overijssel,HR,10-20 year,55+,NL,1,8b347411
Flevoland,Quality & Safety,>20 year,<25,NL,1,44f48360
Zuid-Holland,Projectmanagement,>20 year,<25,NL,1,429f4949
Zuid-Holland,Research & Development,10-20 year,<25,NL,1,4cf29d6a
Utrecht,Sustainability,>20 year,45-55,NL,1,90ea5c60
Gelderland,Strategy & Innovation,<3 year,35-45,NL,1,62d4f21d
Utrecht,Klantenservice,3-10 year,55+,NL,1,d3e30b18
Zuid-Holland,Marketing,3-10 year,35-45,NL,1,1b9cd660
Limburg,Strategy & Innovation,<3 year,35-45,NL,1,ac17c2b4
Overijssel,Research & Development,<3 year,35-45,NL,1,6d321338
Noord-Holland,Procurement,>20 year,55+,NL,1,bb8d1502
Utrecht,Data & Analytics,<3 year,45-55,NL,1,01093bd8
Flevoland,Quality & Safety,<3 year,25-35,NL,1,5aee4cba
Drenthe,Marketing,>20 year,45-55,NL,1,0f762004
Zeeland,Research & Development,>20 year,25-35,NL,1,f7d20782
Friesland,Operations,<3 year,35-45,NL,1,7e45b6bc
Utrecht,Marketing,10-20 year,55+,NL,1,f1327f65
Zuid-Holland,Marketing,<3 year,35-45,NL,1,303dc258
Flevoland,Research & Development,<3 year,45-55,NL,1,4f47fc8d
Zeeland,Communication,<3 year,55+,NL,1,d43a9802
Gelderland,HR,<3 year,25-35,NL,1,999c58aa
Overijssel,Marketing,<3 year,45-55,NL,1,2f3f7516
Overijssel,Data & Analytics,<3 year,<25,NL,1,13e895bf
Flevoland,Klantenservice,10-20 year,55+,NL,1,d05236c5
Drenthe,Procurement,10-20 year,45-55,NL,1,7b495633
Gelderland,Research & Development,3-10 year,<25,NL,1,fc2b4a76
Noord-Holland,Sales,<3 year,25-35,NL,1,7d1abeb3
Limburg,ICT,>20 year,55+,NL,1,9f4bc6d6
Zuid-Holland,Quality & Safety,<3 year,45-55,NL,1,5f7a73e6
Noord-Holland,Research & Development,10-20 year,45-55,NL,1,f5bfabc9
Limburg,Projectmanagement,10-20 year,<25,NL,1,d25f549e
Flevoland,Finance,>20 year,45-55,NL,1,66b02f99
Flevoland,ICT,<3 year,45-55,NL,1,cb1d3630
Limburg,Quality & Safety,10-20 year,25-35,NL,1,f4089b03
Limburg,Sustainability,10-20 year,55+,NL,1,dd8be254
Friesland,Sustainability,<3 year,25-35,NL,1,d14cf0f8
Utrecht,Projectmanagement,>20 year,45-55,NL,1,10e0fedd
Utrecht,Communication,>20 year,<25,NL,1,d279e5eb
Flevoland,HR,>20 year,<25,NL,1,e9b5869f
Zeeland,Operations,3-10 year,45-55,NL,1,9b4ae8b1
Noord-Holland,Maintenance & Management,>20 year,55+,NL,1,69c4e175
Zuid-Holland,Quality & Safety,<3 year,<25,NL,1,c92ff4ae
Utrecht,Marketing,<3 year,25-35,NL,1,e4f4b602
Overijssel,Finance,<3 year,<25,NL,1,bd4c05ee
Zeeland,Maintenance & Management,3-10 year,<25,NL,1,5ffded41
Zuid-Holland,Finance,<3 year,55+,NL,1,9f97e2b5
Zeeland,Maintenance & Management,10-20 year,35-45,NL,1,b1d64669
Flevoland,Projectmanagement,3-10 year,35-45,NL,1,d2e81097
Overijssel,Communication,>20 year,55+,NL,1,df8d2165
Overijssel,ICT,10-20 year,<25,NL,1,8dacc149
Drenthe,Communication,>20 year,25-35,NL,1,13c4a2d3
Friesland,Quality & Safety,<3 year,25-35,NL,1,a02b4524
Zuid-Holland,Sales,10-20 year,55+,NL,1,2f09bfc8
Noord-Holland,Supply Chain,10-20 year,<25,NL,1,171b06a4
Friesland,Marketing,10-20 year,35-45,NL,1,12c31dad
Noord-Holland,Klantenservice,<3 year,45-55,NL,1,b1cf9133
Gelderland,Data & Analytics,3-10 year,35-45,NL,1,8acb0d78
Flevoland,Data & Analytics,10-20 year,55+,NL,1,5537d466
Friesland,Sales,<3 year,35-45,NL,1,54a173e4
Gelderland,Sales,>20 year,25-35,NL,1,e91d289f
Zeeland,Quality & Safety,10-20 year,35-45,NL,1,6fa5938c
Friesland,Research & Development,3-10 year,35-45,NL,1,49647c7a
Zuid-Holland,Communication,10-20 year,35-45,NL,1,b8704d3d
Zuid-Holland,Data & Analytics,<3 year,25-35,NL,1,d2c065a0
Noord-Holland,Sales,10-20 year,45-55,NL,1,3d6bf08c
Flevoland,Klantenservice,<3 year,55+,NL,1,f0e306b6
Overijssel,ICT,3-10 year,25-35,NL,1,8a88b6c3
Zuid-Holland,Operations,3-10 year,<25,NL,1,6c4e8bdf
Drenthe,Quality & Safety,10-20 year,35-45,NL,1,39a86701
Limburg,Research & Development,>20 year,25-35,NL,1,1371acb2
Zuid-Holland,Maintenance & Management,10-20 year,<25,NL,1,ad28c327
Flevoland,Finance,3-10 year,55+,NL,1,736cb7ff
Zeeland,Operations,>20 year,55+,NL,1,2eddb121
Flevoland,Sustainability,>20 year,25-35,NL,1,90fffe5e
